id,num,diff
1697218952.6152213,88,0.000147
1697218952.6154068,89,0.000153
1697218952.6156039,90,0.000146
1697218952.6157768,91,0.000157
1697218952.6159792,92,0.000150
1697218952.6161618,93,0.000153
1697218952.6163568,94,0.000155
1697218952.6165445,95,0.000204
1697218952.6167655,96,0.000154
1697218952.6169481,97,0.000157
1697218952.6171381,98,0.000148
1697218952.617305,99,0.000149
1697218952.6174855,100,0.000146
1697218952.6176586,101,0.000150
1697218952.6178539,102,0.000148
1697218952.6180301,103,0.000151
1697218952.6182115,104,0.000147
1697218952.6183774,105,0.000149
1697218952.6185586,106,0.000145
1697218952.6187284,107,0.000150
1697218952.618926,108,0.000148
1697218952.6191108,109,0.000151
1697218952.6192944,110,0.000151
1697218952.6194682,111,0.000179
1697218952.6196735,112,0.000152
1697218952.6198511,113,0.000153
1697218952.6200495,114,0.000173
1697218952.6202412,115,0.000172
1697218952.620374,116,0.000195
1697218952.6205018,117,0.000810
1697218952.6206553,118,0.000706
1697218952.6207969,119,0.000620
1697218952.6209509,120,0.000495
1697218952.6210976,121,0.000384
1697218952.6212404,122,0.000276
1697218952.6213887,123,0.000179
1697218952.6215374,124,0.000158
1697218952.6216819,125,0.000169
1697218952.6218274,126,0.000160
1697218952.6219757,127,0.000168
1697218952.6221228,128,0.000151
1697218952.6222584,129,0.000166
1697218952.6224034,130,0.000195
1697218952.6225445,131,0.000236
1697218952.6226845,132,0.000206
1697218952.6228285,133,0.000209
1697218952.6229703,134,0.000205
1697218952.6231008,135,0.000187
1697218952.6232285,136,0.000211
1697218952.6233575,137,0.000196
1697218952.6235023,138,0.000212
1697218952.6236427,139,0.000205
1697218952.6237836,140,0.000181
1697218952.6239181,141,0.000219
1697218952.624059,142,0.000188
1697218952.6242013,143,0.000221
1697218952.624346,144,0.000234
1697218952.6244881,145,0.000264
1697218952.62464,146,0.000236
1697218952.6247771,147,0.000214
1697218952.6249015,148,0.000201
1697218952.6250308,149,0.000157
1697218952.6252251,150,0.000157
1697218952.6254029,151,0.000164
1697218952.6255951,152,0.000200
1697218952.6257195,153,0.000227
1697218952.6258471,154,0.000211
