id,num,diff
1697448891.2571859,114,0.012397
1697448891.2572391,115,0.012425
1697448891.2572839,116,0.012521
1697448891.257329,117,0.012597
1697448891.257374,118,0.012598
1697448891.2574279,119,0.012628
1697448891.2574799,120,0.012744
1697448891.2575231,121,0.012800
1697448891.2576389,122,0.012926
1697448891.257688,123,0.012944
1697448891.2577381,124,0.013050
1697448891.2577801,125,0.013098
1697448891.2578199,126,0.013101
1697448891.257864,127,0.013137
1697448891.25791,128,0.013193
1697448891.2580409,129,0.013195
1697448891.2581279,130,0.013182
1697448891.258178,131,0.013244
1697448891.2582209,132,0.013322
1697448891.2582641,133,0.013369
1697448891.2583101,134,0.013426
1697448891.258357,135,0.013465
1697448891.25841,136,0.013562
1697448891.258481,137,0.013573
1697448891.2585981,138,0.013546
1697448891.2586429,139,0.013725
1697448891.2586911,140,0.013818
1697448891.258739,141,0.014072
1697448891.2587841,142,0.014160
1697448891.2588291,143,0.014353
1697448891.258873,144,0.014404
1697448891.2589159,145,0.014415
1697448891.258961,146,0.014682
1697448891.2590041,147,0.014700
1697448891.2590449,148,0.014895
1697448891.2590899,149,0.015058
1697448891.2592289,150,0.015089
1697448891.25931,151,0.015148
1697448891.2593851,152,0.015285
1697448891.259433,153,0.015349
1697448891.2594869,154,0.015411
1697448891.259532,155,0.015440
1697448891.2595811,156,0.015548
1697448891.259625,157,0.015638
1697448891.2596681,158,0.015740
1697448891.259712,159,0.015961
1697448891.259757,160,0.016009
1697448891.2598059,161,0.016050
1697448891.259855,162,0.016074
1697448891.2599001,163,0.016221
1697448891.259948,164,0.016253
1697448891.259995,165,0.016271
1697448891.26004,166,0.016360
1697448891.2600851,167,0.016443
1697448891.260129,168,0.016598
1697448891.2601731,169,0.016591
1697448891.260221,170,0.016626
1697448891.2602701,171,0.016648
1697448891.2603171,172,0.016726
1697448891.260359,173,0.016935
1697448891.260406,174,0.038791
1697448891.2604511,175,0.039105
1697448891.2605009,176,0.039147
1697448891.2605491,177,0.039234
1697448891.260596,178,0.039367
1697448891.260637,179,0.039390
1697448891.26069,180,0.039446
1697448891.260746,181,0.039477
1697448891.2607901,182,0.039595
1697448891.2608311,183,0.039677
1697448891.260875,184,0.039709
1697448891.2609229,185,0.039866
1697448891.2610631,186,0.039873
1697448891.2611401,187,0.039859
1697448891.261178,188,0.040033
1697448891.2612131,189,0.040103
1697448891.261265,190,0.040282
1697448891.261327,191,0.040421
1697448891.261378,192,0.040434
1697448891.2614291,193,0.040478
1697448891.261477,194,0.040499
1697448891.261523,195,0.040622
1697448891.2615681,196,0.040772
1697448891.2616129,197,0.040783
1697448891.261668,198,0.040824
1697448891.261719,199,0.040893
1697448891.261766,200,0.040900
1697448891.2618511,201,0.040940
1697448891.26195,202,0.040908
1697448891.2620051,203,0.040990
1697448891.2620859,204,0.040971
1697448891.2621281,205,0.041055
1697448891.2621641,206,0.041077
1697448891.2622311,207,0.041103
1697448891.262285,208,0.041159
1697448891.262327,209,0.041323
1697448891.2624199,210,0.041369
1697448891.262464,211,0.041426
1697448891.262522,212,0.041489
1697448891.2625811,213,0.041574
1697448891.2626269,214,0.041605
1697448891.2626691,215,0.041701
1697448891.2627139,216,0.041762
1697448891.262759,217,0.041814
1697448891.2628019,218,0.041898
1697448891.2628469,219,0.041959
1697448891.2628951,220,0.042068
1697448891.2629449,221,0.042066
1697448891.2629969,222,0.042070
1697448891.2630401,223,0.042227
1697448891.2630849,224,0.042300
1697448891.2631249,225,0.042301
1697448891.263166,226,0.042310
1697448891.2632101,227,0.042355
1697448891.2632611,228,0.042355
1697448891.26331,229,0.042455
1697448891.26336,230,0.042649
1697448891.263406,231,0.042662
1697448891.263458,232,0.042700
1697448891.2635009,233,0.042939
1697448891.2635469,234,0.042994
1697448891.263592,235,0.043245
1697448891.2636371,236,0.043305
1697448891.2636859,237,0.043360
1697448891.263726,238,0.043482
1697448891.263772,239,0.043735
1697448891.263818,240,0.043768
1697448891.2638631,241,0.043799
1697448891.2639091,242,0.043898
1697448891.263967,243,0.043939
1697448891.264056,244,0.043927
1697448891.264154,245,0.044028
1697448891.2642479,246,0.044042
1697448891.264293,247,0.044084
1697448891.2643471,248,0.044180
1697448891.264394,249,0.044228
1697448891.2644401,250,0.044333
1697448891.2644889,251,0.044394
1697448891.2645359,252,0.044415
1697448891.264585,253,0.044411
1697448891.264632,254,0.044443
1697448891.264678,255,0.044491
1697448891.2647231,256,0.044560
1697448891.264771,257,0.044629
1697448891.264816,258,0.044662
1697448891.264864,259,0.044689
1697448891.2649119,260,0.044720
1697448891.2649591,261,0.044718
1697448891.2650011,262,0.044723
1697448891.2650471,263,0.044735
1697448891.2650931,264,0.044782
1697448891.265141,265,0.044859
1697448891.2651861,266,0.044876
1697448891.2652249,267,0.044946
1697448891.26528,268,0.044960
1697448891.2653229,269,0.045011
1697448891.265367,270,0.045082
1697448891.2654121,271,0.045099
1697448891.2654519,272,0.045215
1697448891.265497,273,0.045257
1697448891.265558,274,0.045239
1697448891.2656081,275,0.045309
1697448891.2656529,276,0.045378
1697448891.265702,277,0.045394
1697448891.2657449,278,0.045413
1697448891.2657881,279,0.045459
1697448891.26583,280,0.045498
1697448891.2658751,281,0.045566
1697448891.265923,282,0.045573
1697448891.2659669,283,0.045604
1697448891.2660079,284,0.045696
1697448891.2660511,285,0.045700
1697448891.266093,286,0.045772
1697448891.2661381,287,0.045833
1697448891.2661829,288,0.045904
1697448891.266228,289,0.045972
1697448891.2662821,290,0.046138
1697448891.266331,291,0.046155
1697448891.266371,292,0.046174
1697448891.266408,293,0.046175
1697448891.2664449,294,0.046192
1697448891.2664781,295,0.046325
1697448891.2665141,296,0.046404
1697448891.2665479,297,0.046480
1697448891.2665839,298,0.046484
1697448891.266618,299,0.046493
1697448891.2666531,300,0.046564
1697448891.2667561,301,0.046667
1697448891.2668569,302,0.046645
1697448891.2669849,303,0.046572
1697448891.267112,304,0.046653
1697448891.2671571,305,0.046749
1697448891.2672541,306,0.046751
1697448891.267302,307,0.046790
1697448891.2673409,308,0.046796
1697448891.267374,309,0.046799
1697448891.267416,310,0.046878
1697448891.267453,311,0.046926
